id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product highlight	product highlight	product detail	product detail	product detail	product detail	product detail	product detail	additional image link	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	max energy efficiency class	item group id	sell on google quantity
bambu-reusable-spool	Bambu reusable spool - gebruikt en gecontroleerd voor filament refills	Originele gebruikte Bambu reusable spool, gecontroleerd en klaar voor filament refills. Per stuk of in kleine reeks aan te vragen, met afhalen of verzending na bevestiging.	in_stock			https://www.x3dprints.be/shop/bambu-reusable-spool/		https://www.x3dprints.be/images/webshop/reusable_spool.png	5 EUR			no			Bambu Lab	Originele reusable spool voor Bambu refills	Gebruikt gecontroleerd en klaar voor hergebruik	Per stuk of in kleine reeks aan te vragen	Algemeen:Type:Bambu reusable spool	Algemeen:Compatibiliteit:Voor Bambu filament refills	Algemeen:Conditie:Gebruikt gecontroleerd en opnieuw inzetbaar	Fulfilment:Levering:Afhalen of verzending na bevestiging	Fulfilment:Levertijd:1-3 werkdagen		https://www.x3dprints.be/images/webshop/reusable_spool-detail.webp		used	no	White					Plastic											23
selectieve-hoornaarval-deksel	Hoornaarval deksel voor selectieve hoornaarvallen in PETG	3D-geprint PETG deksel voor selectieve hoornaarvallen tegen de Aziatische hoornaar. Past op standaard glazen potten en is per stuk of in kleine reeks aan te vragen.	preorder	2026-04-28T12:00+0200		https://www.x3dprints.be/shop/selectieve-hoornaarval-deksel/		https://www.x3dprints.be/images/webshop/hoornaarvallen.jpg	5 EUR			no			X3DPrints	3D-geprint PETG deksel voor selectieve hoornaarvallen	Past op standaard glazen potten met brede opening	Geschikt voor monitoring van de Aziatische hoornaar	Algemeen:Type:Hoornaarval deksel voor selectieve hoornaarvallen	Algemeen:Inbegrepen:Alleen het deksel glazen pot niet inbegrepen	Algemeen:Materiaal:PETG voor buitengebruik en vochtbestendigheid	Algemeen:Pasvorm:Voor standaard glazen potten met brede opening	Gebruik:Toepassing:Selectieve hoornaarvallen voor monitoring	Fulfilment:Levertijd:2-5 werkdagen	https://www.x3dprints.be/images/webshop/selectieve-hoornaarval-deksel.webp	https://www.x3dprints.be/images/portfolio/hoornaarval2.webp	new	no	Yellow					PETG											1
